#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0112,8,S0041-100,F0111,Auto,SSMF,54.6,11.466,0,917.28,0.058,0.369459064,0.25,0.25,0,11.466,917.28,0.058,0.369459064,,ONN-X96,OLR,51,20,2,12,23,59,51,44,1,11,2,27,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0113,8,S0042-100,F0114,Auto,SSMF,59.7,12.537,0,1002.96,0.058,0.386328875,0.25,0.25,0,12.537,1002.96,0.058,0.386328875,,ONN-X96,OLR,51,20,2,12,23,59,50,55,32,12,21,1,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0114,S0042-100,8,F0113,Auto,SSMF,59.7,12.537,0,1002.96,0.058,0.386328875,0.25,0.25,0,12.537,1002.96,0.058,0.386328875,,OLR,ONN-X96,50,55,32,12,21,1,51,20,2,12,23,59,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0009,S0004-100,1,F0010,Auto,SSMF,73.7,15.477,0,1238.16,0.058,0.42924352,0.25,0.25,0,15.477,1238.16,0.058,0.42924352,,OLR,ONN-X96,52,42,8,12,35,51,52,31,20,13,19,20,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0010,1,S0004-100,F0009,Auto,SSMF,73.7,15.477,0,1238.16,0.058,0.42924352,0.25,0.25,0,15.477,1238.16,0.058,0.42924352,,ONN-X96,OLR,52,31,20,13,19,20,52,42,8,12,35,51,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0019,S0008-100,1,F0020,Auto,SSMF,61.6,12.936,0,1034.88,0.058,0.392428337,0.25,0.25,0,12.936,1034.88,0.058,0.392428337,,OLR,ONN-X96,52,31,38,11,59,17,52,31,20,13,19,20,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0020,1,S0008-100,F0019,Auto,SSMF,61.6,12.936,0,1034.88,0.058,0.392428337,0.25,0.25,0,12.936,1034.88,0.058,0.392428337,,ONN-X96,OLR,52,31,20,13,19,20,52,31,38,11,59,17,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0021,1,S0009-100,F0022,Auto,SSMF,64.0,13.44,0,1075.2,0.058,0.4,0.25,0.25,0,13.44,1075.2,0.058,0.4,,ONN-X96,OLR,52,31,20,13,19,20,52,13,50,13,1,33,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0022,S0009-100,1,F0021,Auto,SSMF,64.0,13.44,0,1075.2,0.058,0.4,0.25,0.25,0,13.44,1075.2,0.058,0.4,,OLR,ONN-X96,52,13,50,13,1,33,52,31,20,13,19,20,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0123,9,S0046-100,F0124,Auto,SSMF,57.9,12.159,0,972.72,0.058,0.380460247,0.25,0.25,0,12.159,972.72,0.058,0.380460247,,ONN-X96,OLR,48,7,11,11,32,36,48,37,3,11,21,14,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
